playerId,playerName,deviceId,soccerFieldId,raw_time,epoch_time,session,latitude,longitude,altitude,satellite,pdop,speed,heading,accX,accY,accZ,rotX,rotY,rotZ,pitch,roll,temp,step,crc,cnt,synced
,,,,1615075217.00000000000000000,07.03.2021 00:00:17.000,0,0.00000000,0.00000000,-17.00000000,0,99.98999786,0.00000000,0.00000000,1632,-3462,7272,1047,-2023,-576,-17.29889297,-29.15893364,-4224,3,54240,43521,0
,,,,1615075217.50000000000000000,07.03.2021 00:00:17.500,0,0.00000000,0.00000000,-17.00000000,0,99.98999786,0.00000000,0.00000000,1792,-2480,6912,-1212,1019,363,-17.81192780,-26.06951523,-4224,1,55421,43522,0
,,,,1615075218.00000000000000000,07.03.2021 00:00:18.000,0,0.00000000,0.00000000,-17.00000000,0,99.98999786,0.00000000,0.00000000,4700,-584,6894,-2583,-1091,15,-34.14359283,-24.52615738,-4192,3,19711,43523,0
,,,,1615075218.50000000000000000,07.03.2021 00:00:18.500,0,0.00000000,0.00000000,-17.00000000,0,99.98999786,0.00000000,0.00000000,5402,-1324,6216,308,-104,396,-39.40716934,-20.75831032,-4224,4,62931,43524,0
,,,,1615075219.00000000000000000,07.03.2021 00:00:19.000,0,0.00000000,0.00000000,-17.00000000,0,99.98999786,0.00000000,0.00000000,5012,-1380,5858,267,628,804,-37.46181107,-18.71543503,-4224,4,64404,43525,0
,,,,1615075219.50000000000000000,07.03.2021 00:00:19.500,0,0.00000000,0.00000000,-17.00000000,0,99.98999786,0.00000000,0.00000000,4622,-430,5894,365,135,-217,-37.62902451,-17.11499786,-4208,4,61005,43526,0
,,,,1615075220.00000000000000000,07.03.2021 00:00:20.000,0,0.00000000,0.00000000,-17.00000000,0,99.98999786,0.00000000,0.00000000,5028,-912,5630,-633,864,-374,-36.93806458,-16.14546967,-4192,4,5535,43527,0
,,,,1615075220.50000000000000000,07.03.2021 00:00:20.500,0,0.00000000,0.00000000,-17.00000000,0,99.98999786,0.00000000,0.00000000,5104,-554,5532,-699,-531,-256,-39.94091797,-15.19354057,-4192,4,45664,43528,0
,,,,1615075221.00000000000000000,07.03.2021 00:00:21.000,0,0.00000000,0.00000000,-17.00000000,0,99.98999786,0.00000000,0.00000000,5522,-938,5742,-144,-142,32,-40.84746170,-14.01596069,-4240,4,16819,43529,0
,,,,1615075221.50000000000000000,07.03.2021 00:00:21.500,0,0.00000000,0.00000000,-17.00000000,0,99.98999786,0.00000000,0.00000000,5300,-726,5828,-522,392,-218,-41.78979874,-13.19372559,-4192,4,26374,43530,0
,,,,1615075222.00000000000000000,07.03.2021 00:00:22.000,0,0.00000000,0.00000000,-17.00000000,0,99.98999786,0.00000000,0.00000000,5240,-800,5520,-365,2,213,-42.71469116,-13.46833324,-4176,4,50721,43531,0
,,,,1615075222.50000000000000000,07.03.2021 00:00:22.500,0,0.00000000,0.00000000,-17.00000000,0,99.98999786,0.00000000,0.00000000,5606,-632,5822,82,-89,-298,-43.88432693,-12.31779575,-4192,4,37577,43532,0
